Group ID,Left,Right,Observ 1,Observ 2,Depth,Distance
142,106,119,1,2,2,0.00029718988859184226
143,8,112,1,2,2,0.0003096019098554059
144,87,136,1,3,3,0.00032261737373173727
145,62,132,1,2,2,0.0003583251097785123
146,86,127,1,2,2,0.000364455074783665
147,84,109,1,1,1,0.0003664804867180571
148,0,38,1,1,1,0.0003712626607501601
149,69,70,1,1,1,0.00038844194852516445
150,33,116,1,2,2,0.0003959867214428092
151,60,73,1,1,1,0.0003982135030358158
152,12,72,1,1,1,0.0004172466123492091
153,36,47,1,1,1,0.00042440329598525395
154,133,138,4,2,4,0.00043355337140127403
155,49,124,1,3,3,0.00044450615386426584
156,14,24,1,1,1,0.0004459851401698023
157,120,141,2,2,2,0.0004468429881022695
158,115,142,2,3,3,0.00045621732601630605
159,61,123,1,2,2,0.0005086807514120828
160,52,129,1,2,2,0.0005266171444479051
161,76,93,1,1,1,0.0005448307574059674
162,23,152,1,2,2,0.0005801420553716019
163,37,81,1,1,1,0.0006010158285958411
164,39,139,1,2,2,0.0006043032159445128
165,31,125,1,2,2,0.0006333866666783372
166,145,155,3,4,4,0.0006666710333613768
167,128,150,3,3,3,0.0006684431173127336
168,41,135,1,2,2,0.0007334986613595218
169,146,159,3,3,3,0.0007457846737142226
170,68,134,1,2,2,0.0007535836549756869
171,66,158,1,5,4,0.0007896762138579483
172,42,43,1,1,1,0.000800183749326111
173,71,75,1,1,1,0.0008778768481674248
174,9,148,1,2,2,0.0009053533969098915
175,51,100,1,1,1,0.0009931347244075406
176,21,167,1,6,4,0.0010435265550082784
177,137,156,4,2,4,0.0010475854682027164
178,140,165,5,3,4,0.001083313455406909
179,131,157,2,4,3,0.0010908820864905522
180,151,171,2,6,5,0.0011259379828348903
181,163,164,2,3,3,0.001252985029122189
182,144,180,4,8,6,0.0012674433020419817
183,154,162,6,3,5,0.001270057373617739
184,149,166,2,7,5,0.0013946122702042096
185,101,103,1,1,1,0.001459757966693065
186,4,147,1,2,2,0.0014970178971048798
187,3,143,1,3,3,0.0015938291991668407
188,168,179,3,6,4,0.001687080440430977
